71628314,Chinese Fringe Tree,https://en.wikipedia.org/wiki/Chionanthus_retusus
66e50240,Red Oak,https://en.wikipedia.org/wiki/Quercus_rubra
80099925,Red Oak,https://en.wikipedia.org/wiki/Quercus_rubra
822c750f,Tea,https://en.wikipedia.org/wiki/Camellia_sinensis
9354c92e,Winter Daphne,https://en.wikipedia.org/wiki/Daphne_odora
301bb200,Crown Imperial,https://en.wikipedia.org/wiki/Fritillaria_imperialis
2d15b336,Crocosmia,https://en.wikipedia.org/wiki/Crocosmia
9e59fea6,Hinoki cypress,https://en.wikipedia.org/wiki/Chamaecyparis_obtusa
5be5f07f,Lenten Rose,https://en.wikipedia.org/wiki/Hellebore
011e63e4,Liverleaf,https://en.wikipedia.org/wiki/Anemone_hepatica
67970ed6,Pink Filigree Japanese Maple,https://en.wikipedia.org/wiki/Acer_palmatum
